airlineID,name,iata,icao,country,active
2,135 Airways,1I,GNL,United States,N
3,1Time Airline,1T,RNX,South Africa,Y
4,2 Sqn No 1 Elementary Flying Training School,1I,WYT,United Kingdom,N
5,213 Flight Unit,1I,TFU,Russia,N
6,223 Flight Unit State Airline,1I,CHD,Russia,N
7,224th Flight Unit,1I,TTF,Russia,N
8,247 Jet Ltd,1I,TWF,United Kingdom,N
9,3D Aviation,1I,SEC,United States,N
10,40-Mile Air,Q5,MLA,United States,Y
11,4D Air,1I,QRT,Thailand,N
12,611897 Alberta Limited,1I,THD,Canada,N
13,Ansett Australia,AN,AAA,Australia,Y
15,Abelag Aviation,W9,AAB,Belgium,N
16,Army Air Corps,1I,AAC,United Kingdom,N
17,Aero Aviation Centre Ltd.,1I,AAD,Canada,N
18,Aero Servicios Ejecutivos Internacionales,1I,SII,Mexico,N
19,Aero Biniza,1I,BZS,Mexico,N
20,Aero Albatros,1I,ABM,Spain,N
21,Aigle Azur,ZI,AAF,France,Y
22,Aloha Airlines,AQ,AAH,United States,Y
23,Alaska Island Air,1I,AAK,United States,N
24,American Airlines,AA,AAL,United States,Y
25,Aviation Management Corporation,1I,AAM,United States,N
26,Atlantis Airlines (USA),1I,AAO,United States,N
27,Aerovista Airlines,1I,AAP,United Arab Emirates,N
28,Asiana Airlines,OZ,AAR,Republic of Korea,Y
29,Askari Aviation,4K,AAS,Pakistan,Y
30,Australia Asia Airlines,1I,AAU,Australia,N
31,Astro Air International,1I,AAV,United States,N
32,Afriqiyah Airways,8U,AAW,Libya,Y
33,Afrinat International Airlines,Q9,AFU,Gambia,N
34,Afric'air Express,1I,AAX,Ivory Coast,N
35,Allegiant Air,G4,AAY,United States,Y
36,Angus Aviation,1I,AAZ,Canada,N
37,Artem-Avia,1I,ABA,Ukraine,N
38,African Business and Transportations,1I,ABB,Democratic Republic of the Congo,N
39,Aban Air,K5,ABE,Iran,n
40,Aerial Oy,1I,ABF,Finland,N
41,Abakan-Avia,1I,ABG,Russia,N
42,ABSA - Aerolinhas Brasileiras,M3,TUS,Brazil,Y
43,Abaet,1I,ABJ,Brazil,N
44,Alberta Citylink,1I,ABK,Canada,N
45,APSA Colombia,1I,ABO,Colombia,N
46,Aerovias Bueno,1I,ABU,Colombia,N
47,Aerocenter,1I,ACR,AEROCENTER,N
48,Antrak Air,4,ABV,Ghana,N
49,Airborne Express,GB,ABX,United States,N
50,ABX Air,GB,ABX,United States,N
51,ATA Brasil,1I,ABZ,Brazil,N
52,Avcard Services,1I,ACC,United Kingdom,N
53,Academy Airlines,1I,ACD,United States,N
54,Aero Comondu,1I,ACO,Mexico,N
55,Astral Aviation,8V,ACP,Kenya,Y
56,Air Cess,1I,ACS,Liberia,N
57,Air Aurora,1I,AAI,United States,N
58,Air Cargo Transportation System,1I,ACU,Kenya,N
59,Air Charter Service,1I,ACV,United Kingdom,N
60,Aero Asia International,E4,RSO,Pakistan,N
61,Air Charters,1I,ACX,Canada,N
62,Air Togo,YT,TGA,Togo,N
63,Air Somalia,1I,RSM,Somali Republic,N
64,Atlas Cargo Lines,1I,ACY,Morocco,N
65,Airservices Australia,1I,ADA,Australia,N
69,Antonov Airlines,1I,ADB,Ukraine,N
70,Air Atlantic Dominicana,1I,ADC,Dominican Republic,N
71,Advanced Air Co.,1I,ADD,Japan,N
72,Ada Air,ZY,ADE,Albania,Y
73,Aerea Flying Training Organization,1I,ADG,Spain,N
74,Audeli Air,1I,ADI,Spain,N
75,Abicar,1I,ADJ,Ivory Coast,N
76,ADC Airlines,Z7,ADK,Nigeria,N
77,Aero Dynamics,1I,ADL,United Kingdom,N
78,Aerolineas Dominicanas,1I,ADM,Dominican Republic,N
79,Aerodienst GmbH,1I,ADN,Germany,N
80,Aerodiplomatic,1I,ADP,Mexico,N
81,Aerodyne,1I,ADY,United States,N
82,Avion Taxi,1I,ADQ,Canada,N
83,Adria Airways,JP,ADR,Slovenia,Y
84,Aviones de Sonora,1I,ADS,Mexico,N
85,Air Dorval,1I,ADT,Canada,N
86,Airdeal Oy,1I,ADU,Finland,N
87,Advance Air Charters,1I,ADV,Canada,N
88,Air Andaman,1I,ADW,Thailand,N
89,Anderson Aviation,1I,ADX,United States,N
90,Air Europa,UX,AEA,Spain,Y
91,Air Southwest Ltd.,1I,ASW,Canada,N
92,Air Special,1I,ASX,Czech Republic,N
93,Aero Benin,EM,AEB,Benin,Y
94,Aerocesar,1I,AEC,AEROCESAR,N
95,Aerotrans Airlines,1I,AED,Russia,N
96,Aegean Airlines,A3,AEE,Greece,Y
97,Aerofumigaciones Sam,1I,AEG,Chile,N
98,Aeroexpreso Interamericano,1I,AEI,Colombia,N
99,Air Express,1I,AEJ,Tanzania,N
100,Aerocon,1I,AEK,Bolivia,N
101,Aero Madrid,1I,AEM,Spain,N
102,Aeroenlaces Nacionales,1I,AEN,Mexico,N
103,Aeroservicios Ejecutivos Del Occidente,1I,AEO,Mexico,N
104,Aerotec,1I,AEP,Spain,N
105,Air Atlantique,KI,AAG,United Kingdom,N
106,Air Europe,PE,AEL,Italy,Y
107,Air Alma,1I,AAJ,Canada,N
108,Air Express,1I,AEQ,Sweden,N
109,Alaska Central Express,KO,AER,United States,Y
110,ACES Colombia,1I,AES,Colombia,Y
111,Aeronautical Radio of Thailand,1I,AET,Thailand,N
112,Astraeus,5W,AEU,United Kingdom,Y
113,Aeroventas,1I,AEV,Mexico,N
114,Aerosvit Airlines,VV,AEW,Ukraine,Y
115,Airway Express,1I,AEX,United States,N
116,Air Italy,I9,AEY,Italy,Y
117,Aerial Transit Company,1I,AEZ,United States,N
118,Alfa Air,1I,AFA,Czech Republic,N
119,American Falcon,WK,AFB,Argentina,N
120,Alliance Airlines,QQ,UTY,Australia,Y
121,Air Universal,1I,UVS,Sierra Leone,N
122,Auvia Air,1I,UVT,Indonesia,N
123,African West Air,1I,AFC,Senegal,N
124,Airfast Indonesia,1I,AFE,Indonesia,N
125,Ariana Afghan Airlines,FG,AFG,Afghanistan,Y
126,Air Fecteau,1I,AFH,Canada,N
127,Africaone,1I,AFI,Uganda,N
128,Alliance,1I,AFJ,Uganda,N
129,Africa Air Links,1I,AFK,Sierra Leone,N
130,Aeroflot Russian Airlines,SU,AFL,Russia,Y
131,Aero Empresa Mexicana,1I,AFO,Mexico,N
132,Air Bosna,JA,BON,Bosnia and Herzegovina,Y
133,Air Bravo,1I,BRF,Uganda,N
134,Air Brasd'or,1I,BRL,Canada,N
135,Air 500,1I,BRM,Canada,N
136,Alba Servizi Aerotrasporti,1I,AFQ,Italy,N
137,Air France,AF,AFR,France,Y
138,Air Partner,1I,ACG,United Kingdom,N
139,Air Caledonie International,SB,ACI,France,Y
140,Air Caledonia,1I,ACM,Canada,N
141,Air Guam,1I,AGM,United States,N
142,Air Gabon,GN,AGN,Gabon,N
143,Air Data,1I,AFS,United Kingdom,N
144,Air Afrique Vacancies,1I,AFV,Ivory Coast,N
145,Air Cargo America,1I,MVM,United States,N
147,Air-Angol,1I,NGO,Angola,N
148,Air Nigeria,1I,NGP,Nigeria,N
149,Air Cargo Carriers,2Q,SNC,United States,Y
150,Air Samarkand,1I,SND,Uzbekistan,N
151,Air Senegal International,V7,SNG,Senegal,N
152,Air Sandy,1I,SNY,Canada,N
153,Air Namibia,SW,NMB,Namibia,Y
